,cell_type,train_val_test
122,CD4+/CD25+ regulatory T cells,train
123,CD4+/CD25+ regulatory T cells,train
124,CD4+/CD25+ regulatory T cells,train
125,CD4+/CD25+ regulatory T cells,train
126,CD4+/CD25+ regulatory T cells,train
127,CD4+/CD25+ regulatory T cells,train
128,CD4+/CD25+ regulatory T cells,train
129,CD4+/CD25+ regulatory T cells,train
130,CD4+/CD25+ regulatory T cells,train
131,CD4+/CD25+ regulatory T cells,train
132,CD4+/CD25+ regulatory T cells,train
133,CD4+/CD25+ regulatory T cells,train
134,CD4+/CD25+ regulatory T cells,train
135,CD4+/CD25+ regulatory T cells,train
136,CD4+/CD25+ regulatory T cells,train
137,CD4+/CD25+ regulatory T cells,train
138,CD4+/CD25+ regulatory T cells,train
139,CD4+/CD25+ regulatory T cells,train
140,CD4+/CD25+ regulatory T cells,train
141,CD4+/CD25+ regulatory T cells,train
142,CD4+/CD25+ regulatory T cells,validation
143,CD4+/CD25+ regulatory T cells,train
144,CD4+/CD25+ regulatory T cells,train
145,CD4+/CD25+ regulatory T cells,train
146,CD4+/CD25+ regulatory T cells,train
147,CD4+/CD25+ regulatory T cells,train
148,CD4+/CD25+ regulatory T cells,train
149,CD4+/CD25+ regulatory T cells,train
150,CD4+/CD25+ regulatory T cells,train
151,CD4+/CD25+ regulatory T cells,train
152,CD4+/CD25+ regulatory T cells,train
153,CD4+/CD25+ regulatory T cells,train
154,CD4+/CD25+ regulatory T cells,train
155,CD4+/CD25+ regulatory T cells,train
156,CD4+/CD25+ regulatory T cells,test
157,CD4+/CD25+ regulatory T cells,train
158,CD4+/CD25+ regulatory T cells,train
159,CD4+/CD25+ regulatory T cells,train
160,CD4+/CD25+ regulatory T cells,train
161,CD4+/CD25+ regulatory T cells,validation
162,CD4+/CD25+ regulatory T cells,train
163,CD4+/CD25+ regulatory T cells,train
164,CD4+/CD25+ regulatory T cells,test
165,CD4+/CD25+ regulatory T cells,test
166,CD4+/CD25+ regulatory T cells,train
167,CD4+/CD25+ regulatory T cells,train
168,CD4+/CD25+ regulatory T cells,train
169,CD4+/CD25+ regulatory T cells,train
170,CD4+/CD25+ regulatory T cells,test
171,CD4+/CD25+ regulatory T cells,validation
172,CD4+/CD25+ regulatory T cells,train
173,CD4+/CD25+ regulatory T cells,train
174,CD4+/CD25+ regulatory T cells,train
175,CD4+/CD25+ regulatory T cells,train
176,CD4+/CD25+ regulatory T cells,test
177,CD4+/CD25+ regulatory T cells,train
178,CD4+/CD25+ regulatory T cells,validation
179,CD4+/CD25+ regulatory T cells,test
180,CD4+/CD25+ regulatory T cells,train
181,CD4+/CD25+ regulatory T cells,train
182,CD4+/CD25+ regulatory T cells,train
183,CD4+/CD25+ regulatory T cells,train
184,CD4+/CD25+ regulatory T cells,train
185,CD4+/CD25+ regulatory T cells,test
186,CD4+/CD25+ regulatory T cells,train
187,CD4+/CD25+ regulatory T cells,validation
188,CD4+/CD25+ regulatory T cells,train
189,CD4+/CD25+ regulatory T cells,train
190,CD4+/CD25+ regulatory T cells,train
191,CD4+/CD25+ regulatory T cells,train
192,CD4+/CD25+ regulatory T cells,train
193,CD4+/CD25+ regulatory T cells,train
194,CD4+/CD25+ regulatory T cells,train
195,CD4+/CD25+ regulatory T cells,test
196,CD4+/CD25+ regulatory T cells,train
197,CD4+/CD25+ regulatory T cells,train
198,CD4+/CD25+ regulatory T cells,train
199,CD4+/CD25+ regulatory T cells,train
200,CD4+/CD25+ regulatory T cells,train
201,CD4+/CD25+ regulatory T cells,train
202,CD4+/CD25+ regulatory T cells,train
203,CD4+/CD25+ regulatory T cells,train
204,CD4+/CD25+ regulatory T cells,train
205,CD4+/CD25+ regulatory T cells,train
206,CD4+/CD25+ regulatory T cells,train
207,CD4+/CD25+ regulatory T cells,train
208,CD4+/CD25+ regulatory T cells,train
209,CD4+/CD25+ regulatory T cells,train
210,CD4+/CD25+ regulatory T cells,train
211,CD4+/CD25+ regulatory T cells,train
212,CD4+/CD25+ regulatory T cells,train
213,CD4+/CD25+ regulatory T cells,train
214,CD4+/CD25+ regulatory T cells,train
215,CD4+/CD25+ regulatory T cells,train
216,CD4+/CD25+ regulatory T cells,train
217,CD4+/CD25+ regulatory T cells,train
218,CD4+/CD25+ regulatory T cells,train
219,CD4+/CD25+ regulatory T cells,train
220,CD4+/CD25+ regulatory T cells,train
221,CD4+/CD25+ regulatory T cells,train
222,CD4+/CD25+ regulatory T cells,train
223,CD4+/CD25+ regulatory T cells,train
224,CD4+/CD25+ regulatory T cells,train
225,CD4+/CD25+ regulatory T cells,test
226,CD4+/CD25+ regulatory T cells,validation
227,CD4+/CD25+ regulatory T cells,test
228,CD4+/CD25+ regulatory T cells,train
229,CD4+/CD25+ regulatory T cells,train
230,CD4+/CD25+ regulatory T cells,train
231,CD4+/CD25+ regulatory T cells,train
232,CD4+/CD25+ regulatory T cells,train
233,CD4+/CD25+ regulatory T cells,train
234,CD4+/CD25+ regulatory T cells,validation
235,CD4+/CD25+ regulatory T cells,train
236,CD4+/CD25+ regulatory T cells,train
237,CD4+/CD25+ regulatory T cells,train
238,CD4+/CD25+ regulatory T cells,train
239,CD4+/CD25+ regulatory T cells,test
240,CD4+/CD25+ regulatory T cells,test
241,CD4+/CD25+ regulatory T cells,train
242,CD4+/CD25+ regulatory T cells,train
243,CD4+/CD25+ regulatory T cells,test
244,CD4+/CD25+ regulatory T cells,train
245,CD4+/CD25+ regulatory T cells,test
246,CD4+/CD25+ regulatory T cells,train
247,CD4+/CD25+ regulatory T cells,test
248,CD4+/CD25+ regulatory T cells,train
249,CD4+/CD25+ regulatory T cells,train
250,CD4+/CD25+ regulatory T cells,train
251,CD4+/CD25+ regulatory T cells,train
252,CD4+/CD25+ regulatory T cells,train
253,CD4+/CD25+ regulatory T cells,train
254,CD4+/CD25+ regulatory T cells,train
255,CD4+/CD25+ regulatory T cells,train
256,CD4+/CD25+ regulatory T cells,train
257,CD4+/CD25+ regulatory T cells,train
258,CD4+/CD25+ regulatory T cells,test
259,CD4+/CD25+ regulatory T cells,test
260,CD4+/CD25+ regulatory T cells,train
261,CD4+/CD25+ regulatory T cells,train
262,CD4+/CD25+ regulatory T cells,test
263,CD4+/CD25+ regulatory T cells,train
264,CD4+/CD25+ regulatory T cells,train
265,CD4+/CD25+ regulatory T cells,validation
266,CD4+/CD25+ regulatory T cells,train
267,CD4+/CD25+ regulatory T cells,train
268,CD4+/CD25+ regulatory T cells,train
269,CD4+/CD25+ regulatory T cells,train
270,CD4+/CD25+ regulatory T cells,validation
271,CD4+/CD25+ regulatory T cells,train
272,CD4+/CD25+ regulatory T cells,train
273,CD4+/CD25+ regulatory T cells,train
274,CD4+/CD25+ regulatory T cells,train
275,CD4+/CD25+ regulatory T cells,test
276,CD4+/CD25+ regulatory T cells,train
277,CD4+/CD25+ regulatory T cells,train
278,CD4+/CD25+ regulatory T cells,validation
279,CD4+/CD25+ regulatory T cells,train
280,CD4+/CD25+ regulatory T cells,train
281,CD4+/CD25+ regulatory T cells,test
282,CD4+/CD25+ regulatory T cells,validation
283,CD4+/CD25+ regulatory T cells,test
284,CD4+/CD25+ regulatory T cells,train
285,CD4+/CD25+ regulatory T cells,train
286,CD4+/CD25+ regulatory T cells,train
287,CD4+/CD25+ regulatory T cells,train
288,CD4+/CD25+ regulatory T cells,train
289,CD4+/CD25+ regulatory T cells,train
290,CD4+/CD25+ regulatory T cells,train
291,CD4+/CD25+ regulatory T cells,train
292,CD4+/CD25+ regulatory T cells,train
293,CD4+/CD25+ regulatory T cells,train
294,CD4+/CD25+ regulatory T cells,test
295,CD4+/CD25+ regulatory T cells,train
296,CD4+/CD25+ regulatory T cells,train
297,CD4+/CD25+ regulatory T cells,validation
298,CD4+/CD25+ regulatory T cells,train
299,CD4+/CD25+ regulatory T cells,test
300,CD4+/CD25+ regulatory T cells,train
301,CD4+/CD25+ regulatory T cells,train
302,CD4+/CD25+ regulatory T cells,train
303,CD4+/CD25+ regulatory T cells,train
304,CD4+/CD25+ regulatory T cells,train
305,CD4+/CD25+ regulatory T cells,train
306,CD4+/CD25+ regulatory T cells,train
307,CD4+/CD25+ regulatory T cells,validation
308,CD4+/CD25+ regulatory T cells,train
309,CD4+/CD25+ regulatory T cells,train
310,CD4+/CD25+ regulatory T cells,train
311,CD4+/CD25+ regulatory T cells,train
312,CD4+/CD25+ regulatory T cells,train
313,CD4+/CD25+ regulatory T cells,train
314,CD4+/CD25+ regulatory T cells,train
315,CD4+/CD25+ regulatory T cells,train
316,CD4+/CD25+ regulatory T cells,validation
317,CD4+/CD25+ regulatory T cells,train
318,CD4+/CD25+ regulatory T cells,train
319,CD4+/CD25+ regulatory T cells,train
320,CD4+/CD25+ regulatory T cells,train
321,CD4+/CD25+ regulatory T cells,train
322,CD4+/CD25+ regulatory T cells,test
323,CD4+/CD25+ regulatory T cells,train
324,CD4+/CD25+ regulatory T cells,train
325,CD4+/CD25+ regulatory T cells,train
326,CD4+/CD25+ regulatory T cells,validation
327,CD4+/CD25+ regulatory T cells,train
328,CD4+/CD25+ regulatory T cells,train
329,CD4+/CD25+ regulatory T cells,train
330,CD4+/CD25+ regulatory T cells,train
331,CD4+/CD25+ regulatory T cells,train
332,CD4+/CD25+ regulatory T cells,validation
333,CD4+/CD25+ regulatory T cells,train
334,CD4+/CD25+ regulatory T cells,train
335,CD4+/CD25+ regulatory T cells,train
336,CD4+/CD25+ regulatory T cells,validation
337,CD4+/CD25+ regulatory T cells,train
338,CD4+/CD25+ regulatory T cells,train
339,CD4+/CD25+ regulatory T cells,train
340,CD4+/CD25+ regulatory T cells,train
341,CD4+/CD25+ regulatory T cells,train
342,CD4+/CD25+ regulatory T cells,train
343,CD4+/CD25+ regulatory T cells,train
344,CD4+/CD25+ regulatory T cells,train
345,CD4+/CD25+ regulatory T cells,train
346,CD4+/CD25+ regulatory T cells,validation
347,CD4+/CD25+ regulatory T cells,validation
348,CD4+/CD25+ regulatory T cells,train
349,CD4+/CD25+ regulatory T cells,train
350,CD4+/CD25+ regulatory T cells,train
351,CD4+/CD25+ regulatory T cells,train
352,CD4+/CD25+ regulatory T cells,test
353,CD4+/CD25+ regulatory T cells,train
354,CD4+/CD25+ regulatory T cells,validation
355,CD4+/CD25+ regulatory T cells,train
356,CD4+/CD25+ regulatory T cells,train
357,CD4+/CD25+ regulatory T cells,validation
358,CD4+/CD25+ regulatory T cells,train
359,CD4+/CD25+ regulatory T cells,train
360,CD4+/CD25+ regulatory T cells,train
361,CD4+/CD25+ regulatory T cells,train
362,CD4+/CD25+ regulatory T cells,train
363,CD4+/CD25+ regulatory T cells,train
364,CD4+/CD25+ regulatory T cells,train
365,CD4+/CD25+ regulatory T cells,test
366,CD4+/CD25+ regulatory T cells,train
367,CD4+/CD25+ regulatory T cells,train
368,CD4+/CD25+ regulatory T cells,train
369,CD4+/CD25+ regulatory T cells,train
370,CD4+/CD25+ regulatory T cells,train
371,CD4+/CD25+ regulatory T cells,train
372,CD4+/CD25+ regulatory T cells,train
373,CD4+/CD25+ regulatory T cells,train
374,CD4+/CD25+ regulatory T cells,train
375,CD4+/CD25+ regulatory T cells,train
376,CD4+/CD25+ regulatory T cells,train
377,CD4+/CD25+ regulatory T cells,test
378,CD4+/CD25+ regulatory T cells,train
379,CD4+/CD25+ regulatory T cells,train
380,CD4+/CD25+ regulatory T cells,test
381,CD4+/CD25+ regulatory T cells,train
382,CD4+/CD25+ regulatory T cells,validation
383,CD4+/CD25+ regulatory T cells,train
384,CD4+/CD25+ regulatory T cells,test
385,CD4+/CD25+ regulatory T cells,train
386,CD4+/CD25+ regulatory T cells,validation
387,CD4+/CD25+ regulatory T cells,train
388,CD4+/CD25+ regulatory T cells,train
389,CD4+/CD25+ regulatory T cells,train
390,CD4+/CD25+ regulatory T cells,train
391,CD4+/CD25+ regulatory T cells,train
392,CD4+/CD25+ regulatory T cells,train
393,CD4+/CD25+ regulatory T cells,train
394,CD4+/CD25+ regulatory T cells,validation
395,CD4+/CD25+ regulatory T cells,train
396,CD4+/CD25+ regulatory T cells,train
397,CD4+/CD25+ regulatory T cells,train
398,CD4+/CD25+ regulatory T cells,train
399,CD4+/CD25+ regulatory T cells,train
400,CD4+/CD25+ regulatory T cells,train
401,CD4+/CD25+ regulatory T cells,train
402,CD4+/CD25+ regulatory T cells,train
403,CD4+/CD25+ regulatory T cells,train
404,CD4+/CD25+ regulatory T cells,train
405,CD4+/CD25+ regulatory T cells,train
406,CD4+/CD25+ regulatory T cells,train
407,CD4+/CD25+ regulatory T cells,train
408,CD4+/CD25+ regulatory T cells,train
409,CD4+/CD25+ regulatory T cells,test
410,CD4+/CD25+ regulatory T cells,test
411,CD4+/CD25+ regulatory T cells,train
412,CD4+/CD25+ regulatory T cells,train
413,CD4+/CD25+ regulatory T cells,train
414,CD4+/CD25+ regulatory T cells,validation
415,CD4+/CD25+ regulatory T cells,train
416,CD4+/CD25+ regulatory T cells,train
417,CD4+/CD25+ regulatory T cells,train
418,CD4+/CD25+ regulatory T cells,train
419,CD4+/CD25+ regulatory T cells,train
420,CD4+/CD25+ regulatory T cells,train
421,CD4+/CD25+ regulatory T cells,train
422,CD4+/CD25+ regulatory T cells,train
423,CD4+/CD25+ regulatory T cells,train
424,CD4+/CD25+ regulatory T cells,train
425,CD4+/CD25+ regulatory T cells,train
426,CD4+/CD25+ regulatory T cells,test
427,CD4+/CD25+ regulatory T cells,validation
428,CD4+/CD25+ regulatory T cells,validation
429,CD4+/CD25+ regulatory T cells,train
430,CD4+/CD25+ regulatory T cells,train
431,CD4+/CD25+ regulatory T cells,train
432,CD4+/CD25+ regulatory T cells,test
433,CD4+/CD25+ regulatory T cells,train
434,CD4+/CD25+ regulatory T cells,test
435,CD4+/CD25+ regulatory T cells,validation
436,CD4+/CD25+ regulatory T cells,train
437,CD4+/CD25+ regulatory T cells,test
438,CD4+/CD25+ regulatory T cells,train
439,CD4+/CD25+ regulatory T cells,train
440,CD4+/CD25+ regulatory T cells,train
441,CD4+/CD25+ regulatory T cells,validation
442,CD4+/CD25+ regulatory T cells,test
443,CD4+/CD25+ regulatory T cells,train
444,CD4+/CD25+ regulatory T cells,train
445,CD4+/CD25+ regulatory T cells,train
446,CD4+/CD25+ regulatory T cells,train
447,CD4+/CD25+ regulatory T cells,train
448,CD4+/CD25+ regulatory T cells,train
449,CD4+/CD25+ regulatory T cells,train
450,CD4+/CD25+ regulatory T cells,train
451,CD4+/CD25+ regulatory T cells,train
452,CD4+/CD25+ regulatory T cells,train
453,CD4+/CD25+ regulatory T cells,train
454,CD4+/CD25+ regulatory T cells,train
455,CD4+/CD25+ regulatory T cells,train
456,CD4+/CD25+ regulatory T cells,train
457,CD4+/CD25+ regulatory T cells,train
458,CD4+/CD25+ regulatory T cells,train
459,CD4+/CD25+ regulatory T cells,train
460,CD4+/CD25+ regulatory T cells,train
461,CD4+/CD25+ regulatory T cells,validation
462,CD4+/CD25+ regulatory T cells,train
463,CD4+/CD25+ regulatory T cells,train
464,CD4+/CD25+ regulatory T cells,train
465,CD4+/CD25+ regulatory T cells,train
466,CD4+/CD25+ regulatory T cells,train
467,CD4+/CD25+ regulatory T cells,train
468,CD4+/CD25+ regulatory T cells,validation
469,CD4+/CD25+ regulatory T cells,test
470,CD4+/CD25+ regulatory T cells,train
471,CD4+/CD25+ regulatory T cells,test
472,CD4+/CD25+ regulatory T cells,train
473,CD4+/CD25+ regulatory T cells,train
474,CD4+/CD25+ regulatory T cells,train
475,CD4+/CD25+ regulatory T cells,train
476,CD4+/CD25+ regulatory T cells,train
477,CD4+/CD25+ regulatory T cells,train
478,CD4+/CD25+ regulatory T cells,train
479,CD4+/CD25+ regulatory T cells,train
480,CD4+/CD25+ regulatory T cells,train
481,CD4+/CD25+ regulatory T cells,train
482,CD4+/CD25+ regulatory T cells,train
483,CD4+/CD25+ regulatory T cells,train
484,CD4+/CD25+ regulatory T cells,train
485,CD4+/CD25+ regulatory T cells,train
486,CD4+/CD25+ regulatory T cells,train
487,CD4+/CD25+ regulatory T cells,train
488,CD4+/CD25+ regulatory T cells,train
489,CD4+/CD25+ regulatory T cells,train
490,CD4+/CD25+ regulatory T cells,train
491,CD4+/CD25+ regulatory T cells,test
492,CD4+/CD25+ regulatory T cells,train
493,CD4+/CD25+ regulatory T cells,train
494,CD4+/CD25+ regulatory T cells,train
495,CD4+/CD25+ regulatory T cells,train
496,CD4+/CD25+ regulatory T cells,train
497,CD4+/CD25+ regulatory T cells,train
498,CD4+/CD25+ regulatory T cells,train
499,CD4+/CD25+ regulatory T cells,train
500,CD4+/CD25+ regulatory T cells,train
501,CD4+/CD25+ regulatory T cells,train
502,CD4+/CD25+ regulatory T cells,train
503,CD4+/CD25+ regulatory T cells,train
504,CD4+/CD25+ regulatory T cells,train
505,CD4+/CD25+ regulatory T cells,train
506,CD4+/CD25+ regulatory T cells,train
507,CD4+/CD25+ regulatory T cells,train
508,CD4+/CD25+ regulatory T cells,train
509,CD4+/CD25+ regulatory T cells,test
510,CD4+/CD25+ regulatory T cells,validation
511,CD4+/CD25+ regulatory T cells,train
512,CD4+/CD25+ regulatory T cells,validation
513,CD4+/CD25+ regulatory T cells,test
514,CD4+/CD25+ regulatory T cells,train
515,CD4+/CD25+ regulatory T cells,train
516,CD4+/CD25+ regulatory T cells,train
517,CD4+/CD25+ regulatory T cells,train
518,CD4+/CD25+ regulatory T cells,validation
519,CD4+/CD25+ regulatory T cells,train
520,CD4+/CD25+ regulatory T cells,train
521,CD4+/CD25+ regulatory T cells,train
522,CD4+/CD25+ regulatory T cells,test
523,CD4+/CD25+ regulatory T cells,validation
524,CD4+/CD25+ regulatory T cells,train
525,CD4+/CD25+ regulatory T cells,train
526,CD4+/CD25+ regulatory T cells,validation
527,CD4+/CD25+ regulatory T cells,train
528,CD4+/CD25+ regulatory T cells,train
529,CD4+/CD25+ regulatory T cells,train
530,CD4+/CD25+ regulatory T cells,train
531,CD4+/CD25+ regulatory T cells,train
532,CD4+/CD25+ regulatory T cells,train
533,CD4+/CD25+ regulatory T cells,train
534,CD4+/CD25+ regulatory T cells,train
535,CD4+/CD25+ regulatory T cells,train
536,CD4+/CD25+ regulatory T cells,test
537,CD4+/CD25+ regulatory T cells,train
538,CD4+/CD25+ regulatory T cells,train
539,CD4+/CD25+ regulatory T cells,validation
540,CD4+/CD25+ regulatory T cells,train
541,CD4+/CD25+ regulatory T cells,train
542,CD4+/CD25+ regulatory T cells,train
543,CD4+/CD25+ regulatory T cells,train
544,CD4+/CD25+ regulatory T cells,train
545,CD4+/CD25+ regulatory T cells,train
546,CD4+/CD25+ regulatory T cells,train
547,CD4+/CD25+ regulatory T cells,train
548,CD4+/CD25+ regulatory T cells,train
549,CD4+/CD25+ regulatory T cells,train
550,CD4+/CD25+ regulatory T cells,train
551,CD4+/CD25+ regulatory T cells,train
552,CD4+/CD25+ regulatory T cells,train
553,CD4+/CD25+ regulatory T cells,test
554,CD4+/CD25+ regulatory T cells,train
555,CD4+/CD25+ regulatory T cells,test
556,CD4+/CD25+ regulatory T cells,train
557,CD4+/CD25+ regulatory T cells,train
558,CD4+/CD25+ regulatory T cells,validation
559,CD4+/CD25+ regulatory T cells,train
560,CD4+/CD25+ regulatory T cells,train
561,CD4+/CD25+ regulatory T cells,validation
562,CD4+/CD25+ regulatory T cells,train
563,CD4+/CD25+ regulatory T cells,train
564,CD4+/CD25+ regulatory T cells,test
565,CD4+/CD25+ regulatory T cells,train
566,CD4+/CD25+ regulatory T cells,train
567,CD4+/CD25+ regulatory T cells,train
568,CD4+/CD25+ regulatory T cells,train
569,CD4+/CD25+ regulatory T cells,validation
570,CD4+/CD25+ regulatory T cells,validation
571,CD4+/CD25+ regulatory T cells,train
572,CD4+/CD25+ regulatory T cells,train
573,CD4+/CD25+ regulatory T cells,train
574,CD4+/CD25+ regulatory T cells,train
575,CD4+/CD25+ regulatory T cells,train
576,CD4+/CD25+ regulatory T cells,train
577,CD4+/CD25+ regulatory T cells,validation
578,CD4+/CD25+ regulatory T cells,test
579,CD4+/CD25+ regulatory T cells,train
580,CD4+/CD25+ regulatory T cells,train
581,CD4+/CD25+ regulatory T cells,train
582,CD4+/CD25+ regulatory T cells,test
583,CD4+/CD25+ regulatory T cells,train
584,CD4+/CD25+ regulatory T cells,train
585,CD4+/CD25+ regulatory T cells,train
586,CD4+/CD25+ regulatory T cells,train
587,CD4+/CD25+ regulatory T cells,train
588,CD4+/CD25+ regulatory T cells,train
589,CD4+/CD25+ regulatory T cells,train
590,CD4+/CD25+ regulatory T cells,train
591,CD4+/CD25+ regulatory T cells,train
592,CD4+/CD25+ regulatory T cells,train
593,CD4+/CD25+ regulatory T cells,train
594,CD4+/CD25+ regulatory T cells,train
595,CD4+/CD25+ regulatory T cells,train
596,CD4+/CD25+ regulatory T cells,test
597,CD4+/CD25+ regulatory T cells,train
598,CD4+/CD25+ regulatory T cells,train
599,CD4+/CD25+ regulatory T cells,train
600,CD4+/CD25+ regulatory T cells,train
601,CD4+/CD25+ regulatory T cells,train
602,CD4+/CD25+ regulatory T cells,test
603,CD4+/CD25+ regulatory T cells,train
604,CD4+/CD25+ regulatory T cells,test
605,CD4+/CD25+ regulatory T cells,train
606,CD4+/CD25+ regulatory T cells,train
607,CD4+/CD25+ regulatory T cells,train
608,CD4+/CD25+ regulatory T cells,train
609,CD4+/CD25+ regulatory T cells,train
610,CD4+/CD25+ regulatory T cells,train
611,CD4+/CD25+ regulatory T cells,validation
612,CD4+/CD25+ regulatory T cells,test
613,CD4+/CD25+ regulatory T cells,train
614,CD4+/CD25+ regulatory T cells,train
615,CD4+/CD25+ regulatory T cells,test
616,CD4+/CD25+ regulatory T cells,test
617,CD4+/CD25+ regulatory T cells,train
618,CD4+/CD25+ regulatory T cells,train
619,CD4+/CD25+ regulatory T cells,train
620,CD4+/CD25+ regulatory T cells,test
621,CD4+/CD25+ regulatory T cells,test
622,CD4+/CD25+ regulatory T cells,train
623,CD4+/CD25+ regulatory T cells,train
624,CD4+/CD25+ regulatory T cells,train
625,CD4+/CD25+ regulatory T cells,train
626,CD4+/CD25+ regulatory T cells,test
627,CD4+/CD25+ regulatory T cells,train
628,CD4+/CD25+ regulatory T cells,train
629,CD4+/CD25+ regulatory T cells,train
630,CD4+/CD25+ regulatory T cells,train
631,CD4+/CD25+ regulatory T cells,train
