,gene_ID,gene_name
59,ENSG00000162572,SCNN1D
60,ENSG00000131584,ACAP3
61,ENSG00000169972,PUSL1
62,ENSG00000127054,CPSF3L
63,ENSG00000224051,GLTPD1
64,ENSG00000169962,TAS1R3
65,ENSG00000107404,DVL1
66,ENSG00000162576,MXRA8
67,ENSG00000175756,AURKAIP1
68,ENSG00000221978,CCNL2
69,ENSG00000224870,RP4-758J18.2
70,ENSG00000242485,MRPL20
71,ENSG00000272455,RP4-758J18.13
72,ENSG00000235098,ANKRD65
73,ENSG00000225905,RP4-758J18.7
74,ENSG00000205116,TMEM88B
75,ENSG00000225285,RP4-758J18.10
76,ENSG00000179403,VWA1
77,ENSG00000215915,ATAD3C
78,ENSG00000160072,ATAD3B
79,ENSG00000197785,ATAD3A
80,ENSG00000205090,TMEM240
81,ENSG00000160075,SSU72
82,ENSG00000215014,AL645728.1
83,ENSG00000228594,C1orf233
84,ENSG00000272106,RP11-345P4.9
85,ENSG00000197530,MIB2
86,ENSG00000189409,MMP23B
87,ENSG00000248333,CDK11B
88,ENSG00000272004,RP11-345P4.10
89,ENSG00000189339,SLC35E2B
90,ENSG00000269737,RP11-345P4.7
91,ENSG00000008128,CDK11A
92,ENSG00000215790,SLC35E2
93,ENSG00000008130,NADK
94,ENSG00000078369,GNB1
95,ENSG00000231050,RP1-140A9.1
96,ENSG00000169885,CALML6
97,ENSG00000178821,TMEM52
98,ENSG00000142609,C1orf222
99,ENSG00000233542,RP11-547D24.1
100,ENSG00000187730,GABRD
101,ENSG00000226969,RP11-547D24.3
102,ENSG00000067606,PRKCZ
103,ENSG00000271806,RP5-892K4.1
104,ENSG00000182873,RP11-181G12.2
105,ENSG00000162585,C1orf86
106,ENSG00000269554,AL590822.2
107,ENSG00000203301,AL590822.1
108,ENSG00000243558,RP11-181G12.5
109,ENSG00000234396,RP11-181G12.4
110,ENSG00000157933,SKI
111,ENSG00000116151,MORN1
112,ENSG00000269753,AL589739.1
113,ENSG00000157916,RER1
114,ENSG00000157911,PEX10
115,ENSG00000149527,PLCH2
116,ENSG00000224387,RP3-395M20.2
117,ENSG00000229393,RP3-395M20.3
118,ENSG00000157881,PANK4
119,ENSG00000197921,HES5
120,ENSG00000272449,RP3-395M20.12
121,ENSG00000157873,TNFRSF14
122,ENSG00000225931,RP3-395M20.7
123,ENSG00000228037,RP3-395M20.9
124,ENSG00000157870,FAM213B
125,ENSG00000142606,MMEL1
126,ENSG00000237058,RP13-436F16.1
127,ENSG00000215912,TTC34
128,ENSG00000233234,RP11-740P5.2
129,ENSG00000231630,RP11-740P5.3
130,ENSG00000169717,ACTRT2
131,ENSG00000177133,LINC00982
132,ENSG00000142611,PRDM16
133,ENSG00000226286,RP1-163G9.2
134,ENSG00000272235,RP11-22L13.1
135,ENSG00000130762,ARHGEF16
136,ENSG00000272088,RP11-168F9.2
137,ENSG00000162591,MEGF6
138,ENSG00000238260,RP11-46F15.2
139,ENSG00000158109,TPRG1L
140,ENSG00000116213,WRAP73
141,ENSG00000078900,TP73
142,ENSG00000227589,RP5-1092A11.5
143,ENSG00000235131,RP5-1092A11.2
144,ENSG00000227372,TP73-AS1
145,ENSG00000162592,CCDC27
146,ENSG00000235169,SMIM1
147,ENSG00000130764,LRRC47
148,ENSG00000272153,RP1-286D6.5
149,ENSG00000116198,CEP104
150,ENSG00000169598,DFFB
151,ENSG00000198912,C1orf174
152,ENSG00000236423,LINC01134
153,ENSG00000233304,RP13-614K11.1
154,ENSG00000226374,RP13-614K11.2
155,ENSG00000235054,RP5-1166F10.1
156,ENSG00000227169,RP1-37J18.1
157,ENSG00000232596,RP1-37J18.2
158,ENSG00000196581,AJAP1
159,ENSG00000231510,RP11-542C10.1
160,ENSG00000260972,RP1-58B11.1
161,ENSG00000236948,RP11-154H17.1
162,ENSG00000131697,NPHP4
163,ENSG00000069424,KCNAB2
164,ENSG00000268332,AL035406.1
165,ENSG00000116254,CHD5
166,ENSG00000116251,RPL22
167,ENSG00000226944,RP1-120G22.11
168,ENSG00000158286,RNF207
169,ENSG00000116237,ICMT
170,ENSG00000225077,LINC00337
171,ENSG00000173673,HES3
172,ENSG00000158292,GPR153
173,ENSG00000097021,ACOT7
174,ENSG00000271746,RP1-202O8.3
175,ENSG00000069812,HES2
176,ENSG00000187017,ESPN
177,ENSG00000231868,RP1-202O8.2
178,ENSG00000215788,TNFRSF25
179,ENSG00000171680,PLEKHG5
180,ENSG00000162408,NOL9
181,ENSG00000173662,TAS1R1
182,ENSG00000204859,ZBTB48
183,ENSG00000162413,KLHL21
184,ENSG00000116273,PHF13
185,ENSG00000041988,THAP3
186,ENSG00000007923,DNAJC11
187,ENSG00000228750,RP11-242F24.1
188,ENSG00000237436,RP11-312B8.1
189,ENSG00000171735,CAMTA1
190,ENSG00000237365,RP11-334N17.1
191,ENSG00000237728,RP3-453P22.2
192,ENSG00000225126,RP4-549F15.1
193,ENSG00000270171,RP11-338N10.1
194,ENSG00000270035,RP11-338N10.2
195,ENSG00000269978,RP11-338N10.3
196,ENSG00000049245,VAMP3
197,ENSG00000049246,PER3
198,ENSG00000236266,RP3-467L1.4
199,ENSG00000049247,UTS2
200,ENSG00000049249,TNFRSF9
201,ENSG00000116288,PARK7
202,ENSG00000116285,ERRFI1
203,ENSG00000238290,RP11-431K24.1
204,ENSG00000227634,RP11-431K24.3
205,ENSG00000233645,RP11-431K24.4
206,ENSG00000162426,SLC45A1
207,ENSG00000142599,RERE
208,ENSG00000232912,RP5-1115A15.1
209,ENSG00000228423,RP4-633I8.4
210,ENSG00000074800,ENO1
211,ENSG00000230679,ENO1-AS1
212,ENSG00000131686,CA6
213,ENSG00000197241,SLC2A7
214,ENSG00000142583,SLC2A5
215,ENSG00000180758,GPR157
216,ENSG00000228526,RP3-510D11.1
217,ENSG00000234546,RP3-510D11.2
218,ENSG00000049239,H6PD
219,ENSG00000171621,SPSB1
220,ENSG00000235263,RP13-392I16.1
221,ENSG00000171612,SLC25A33
222,ENSG00000188807,TMEM201
223,ENSG00000171608,PIK3CD
224,ENSG00000179840,C1orf200
225,ENSG00000231789,RP11-558F24.4
226,ENSG00000171603,CLSTN1
227,ENSG00000178585,CTNNBIP1
228,ENSG00000223989,RP11-84A14.5
229,ENSG00000162441,LZIC
230,ENSG00000173614,NMNAT1
231,ENSG00000162444,RBP7
232,ENSG00000130939,UBE4B
233,ENSG00000054523,KIF1B
234,ENSG00000142657,PGD
235,ENSG00000271989,RP4-736L20.3
236,ENSG00000175279,APITD1
237,ENSG00000251503,APITD1-CORT
238,ENSG00000241563,CORT
239,ENSG00000160049,DFFA
240,ENSG00000203469,RP5-1113E3.3
241,ENSG00000142655,PEX14
242,ENSG00000130940,CASZ1
243,ENSG00000272078,RP4-734G22.3
244,ENSG00000175262,C1orf127
245,ENSG00000120948,TARDBP
246,ENSG00000009724,MASP2
247,ENSG00000271895,RP4-635E18.8
248,ENSG00000116649,SRM
249,ENSG00000171824,EXOSC10
250,ENSG00000226849,RP4-635E18.7
251,ENSG00000230337,RP4-635E18.6
252,ENSG00000198793,MTOR
253,ENSG00000225602,MTOR-AS1
254,ENSG00000171819,ANGPTL7
255,ENSG00000120942,UBIAD1
256,ENSG00000204624,PTCHD2
257,ENSG00000235643,RP1-69M21.2
258,ENSG00000116661,FBXO2
259,ENSG00000132879,FBXO44
260,ENSG00000116663,FBXO6
261,ENSG00000116670,MAD2L2
262,ENSG00000162490,DRAXIN
263,ENSG00000177674,AGTRAP
264,ENSG00000215910,C1orf167
265,ENSG00000177553,RP11-56N19.5
266,ENSG00000177000,MTHFR
267,ENSG00000011021,CLCN6
268,ENSG00000242349,NPPA-AS1
269,ENSG00000175206,NPPA
270,ENSG00000120937,NPPB
271,ENSG00000116685,KIAA2013
272,ENSG00000083444,PLOD1
273,ENSG00000116688,MFN2
274,ENSG00000116691,MIIP
275,ENSG00000120949,TNFRSF8
276,ENSG00000028137,TNFRSF1B
277,ENSG00000048707,VPS13D
278,ENSG00000229484,RP5-888M10.2
279,ENSG00000162496,DHRS3
280,ENSG00000272482,RP11-474O21.5
281,ENSG00000204518,AADACL4
282,ENSG00000188984,AADACL3
283,ENSG00000157330,C1orf158
284,ENSG00000116726,PRAMEF12
285,ENSG00000116721,PRAMEF1
286,ENSG00000228338,RP5-845O24.8
287,ENSG00000204513,PRAMEF11
288,ENSG00000179172,HNRNPCL1
289,ENSG00000120952,PRAMEF2
290,ENSG00000243073,PRAMEF4
291,ENSG00000187545,PRAMEF10
292,ENSG00000204510,PRAMEF7
293,ENSG00000232423,PRAMEF6
294,ENSG00000204508,PRAMEF22
295,ENSG00000239810,WI2-3308P17.2
296,ENSG00000233336,RP13-221M14.2
297,ENSG00000229571,PRAMEF26
298,ENSG00000204503,PRAMEF3
299,ENSG00000204502,PRAMEF5
300,ENSG00000182330,PRAMEF8
301,ENSG00000204501,PRAMEF9
302,ENSG00000228229,RP11-219C24.10
303,ENSG00000204495,PRAMEF13
304,ENSG00000204491,PRAMEF18
305,ENSG00000204488,PRAMEF16
306,ENSG00000204486,PRAMEF21
307,ENSG00000157358,PRAMEF15
308,ENSG00000204481,PRAMEF14
309,ENSG00000204480,PRAMEF19
310,ENSG00000204479,PRAMEF17
311,ENSG00000204478,PRAMEF20
312,ENSG00000162494,LRRC38
313,ENSG00000259961,RP4-597A16.2
314,ENSG00000162493,PDPN
315,ENSG00000237445,CTA-520D8.2
316,ENSG00000116731,PRDM2
317,ENSG00000231606,RP11-344F13.1
318,ENSG00000234593,RP4-704D23.1
319,ENSG00000189337,KAZN
320,ENSG00000171729,TMEM51
321,ENSG00000204464,C1orf195
322,ENSG00000142621,FHAD1
323,ENSG00000233485,RP3-467K16.2
324,ENSG00000236045,RP3-467K16.7
325,ENSG00000228140,RP3-467K16.4
326,ENSG00000142634,EFHD2
327,ENSG00000162438,CTRC
328,ENSG00000142615,CELA2A
329,ENSG00000215704,CELA2B
330,ENSG00000132906,CASP9
331,ENSG00000116138,DNAJC16
332,ENSG00000272510,RP4-680D5.8
333,ENSG00000116771,AGMAT
334,ENSG00000237301,RP4-680D5.2
335,ENSG00000197312,DDI2
336,ENSG00000215695,RSC1A1
337,ENSG00000271742,RP4-680D5.9
338,ENSG00000116786,PLEKHM2
339,ENSG00000237938,RP11-288I21.1
340,ENSG00000162461,SLC25A34
341,ENSG00000224459,RP11-169K16.4
342,ENSG00000162460,TMEM82
343,ENSG00000162458,FBLIM1
344,ENSG00000179743,RP11-169K16.9
345,ENSG00000065526,SPEN
346,ENSG00000116809,ZBTB17
347,ENSG00000183888,C1orf64
348,ENSG00000233078,RP11-5P18.5
349,ENSG00000173641,HSPB7
350,ENSG00000186510,CLCNKA
351,ENSG00000184908,CLCNKB
352,ENSG00000185519,FAM131C
353,ENSG00000142627,EPHA2
354,ENSG00000227959,RP11-276H7.2
355,ENSG00000224621,RP11-276H7.3
356,ENSG00000234166,ARHGEF19-AS1
357,ENSG00000142632,ARHGEF19
358,ENSG00000204377,C1orf134
359,ENSG00000132881,RSG1
360,ENSG00000037637,FBXO42
361,ENSG00000055070,SZRD1
362,ENSG00000187144,SPATA21
363,ENSG00000157191,NECAP2
364,ENSG00000226029,RP4-798A10.2
365,ENSG00000261135,RP4-798A10.7
366,ENSG00000224174,RP4-798A10.4
367,ENSG00000233421,U1
368,ENSG00000268674,FAM231B
369,ENSG00000219481,NBPF1
370,ENSG00000271732,RP5-1182A14.5
371,ENSG00000215908,CROCCP2
372,ENSG00000237847,FAM231A
373,ENSG00000268991,FAM231C
374,ENSG00000058453,CROCC
375,ENSG00000223643,RP11-108M9.1
376,ENSG00000230239,RP11-108M9.2
377,ENSG00000228549,U1
378,ENSG00000238142,RP11-108M9.4
379,ENSG00000272426,RP11-108M9.6
380,ENSG00000117122,MFAP2
381,ENSG00000226526,RP1-37C10.3
382,ENSG00000159363,ATP13A2
383,ENSG00000117118,SDHB
384,ENSG00000117115,PADI2
385,ENSG00000204362,RP11-380J14.1
386,ENSG00000142623,PADI1
387,ENSG00000142619,PADI3
388,ENSG00000159339,PADI4
389,ENSG00000269468,AC004824.2
390,ENSG00000227751,RP1-20B21.4
391,ENSG00000179051,RCC2
392,ENSG00000074964,ARHGEF10L
393,ENSG00000236648,RP11-473A10.2
394,ENSG00000117148,ACTL8
395,ENSG00000261781,RP11-174G17.2
396,ENSG00000117154,IGSF21
397,ENSG00000230035,RP11-174G17
398,ENSG00000225387,RP11-422P22.1
399,ENSG00000179023,KLHDC7A
400,ENSG00000009709,PAX7
401,ENSG00000179002,TAS1R2
402,ENSG00000255275,RP13-279N23.2
403,ENSG00000159423,ALDH4A1
404,ENSG00000169991,IFFO2
405,ENSG00000127481,UBR4
406,ENSG00000230424,RP1-43E13.2
407,ENSG00000127463,EMC1
408,ENSG00000053372,MRTO4
409,ENSG00000162482,AKR7A3
410,ENSG00000053371,AKR7A2
411,ENSG00000040487,PQLC2
412,ENSG00000077549,CAPZB
413,ENSG00000235185,RP5-1056L3.1
414,ENSG00000270136,MINOS1-NBL1
415,ENSG00000173436,MINOS1
416,ENSG00000158747,NBL1
417,ENSG00000158748,HTR6
418,ENSG00000162542,TMCO4
419,ENSG00000178828,RNF186
420,ENSG00000235434,RP11-91K11.2
421,ENSG00000169914,OTUD3
422,ENSG00000188784,PLA2G2E
423,ENSG00000188257,PLA2G2A
424,ENSG00000127472,PLA2G5
425,ENSG00000117215,PLA2G2D
426,ENSG00000158786,PLA2G2F
427,ENSG00000227066,RP3-340N1.2
428,ENSG00000187980,PLA2G2C
429,ENSG00000225986,UBXN10-AS1
430,ENSG00000162543,UBXN10
431,ENSG00000228105,RP3-340N1.6
432,ENSG00000158816,VWA5B1
433,ENSG00000226664,RP4-745E8.2
434,ENSG00000236963,LINC01141
435,ENSG00000226487,RP4-749H3.2
436,ENSG00000162545,CAMK2N1
437,ENSG00000090432,MUL1
438,ENSG00000183114,FAM43B
439,ENSG00000158825,CDA
440,ENSG00000158828,PINK1
441,ENSG00000117242,PINK1-AS
442,ENSG00000244038,DDOST
443,ENSG00000117245,KIF17
444,ENSG00000189410,SH2D5
445,ENSG00000233069,RP5-930J4.2
446,ENSG00000127483,HP1BP3
447,ENSG00000203394,RP5-930J4.4
448,ENSG00000075151,EIF4G3
449,ENSG00000117298,ECE1
450,ENSG00000236936,RP3-329E20.2
451,ENSG00000231105,RP5-1071N3.1
452,ENSG00000236009,RP11-293F5.1
453,ENSG00000142794,NBPF3
454,ENSG00000162551,ALPL
455,ENSG00000233431,RP11-63N8.3
456,ENSG00000076864,RAP1GAP
457,ENSG00000090686,USP48
458,ENSG00000187942,LDLRAD2
459,ENSG00000142798,HSPG2
460,ENSG00000219073,CELA3B
461,ENSG00000142789,CELA3A
462,ENSG00000228397,RP1-224A6.3
463,ENSG00000218510,LINC00339
464,ENSG00000070831,CDC42
465,ENSG00000271840,RP1-224A6.9
466,ENSG00000162552,WNT4
467,ENSG00000184677,ZBTB40
468,ENSG00000070886,EPHA8
469,ENSG00000173372,C1QA
470,ENSG00000159189,C1QC
471,ENSG00000173369,C1QB
472,ENSG00000133216,EPHB2
473,ENSG00000225952,RP11-69E9.1
474,ENSG00000272796,RP1-74M1.3
475,ENSG00000215906,LACTBL1
476,ENSG00000227868,C1orf234
477,ENSG00000004487,KDM1A
478,ENSG00000240553,RP1-184J9.2
479,ENSG00000169641,LUZP1
480,ENSG00000179546,HTR1D
481,ENSG00000261326,RP5-1057J7.6
482,ENSG00000125944,HNRNPR
483,ENSG00000125945,ZNF436
484,ENSG00000249087,C1orf213
485,ENSG00000271420,RP5-1057J7.7
486,ENSG00000204219,TCEA3
487,ENSG00000088280,ASAP3
488,ENSG00000007968,E2F2
489,ENSG00000235052,RP1-150O5.3
490,ENSG00000117318,ID3
491,ENSG00000197880,MDS2
492,ENSG00000142676,RPL11
493,ENSG00000011007,TCEB3
494,ENSG00000236810,RP5-886K2.3
495,ENSG00000057757,PITHD1
496,ENSG00000011009,LYPLA2
497,ENSG00000117308,GALE
498,ENSG00000117305,HMGCL
499,ENSG00000179163,FUCA1
500,ENSG00000188822,CNR2
501,ENSG00000232557,RP11-4M23.3
502,ENSG00000189266,PNRC2
503,ENSG00000188529,SRSF10
504,ENSG00000225315,RP11-293P20.2
505,ENSG00000142661,MYOM3
506,ENSG00000230703,RP11-293P20.4
507,ENSG00000142677,IL22RA1
508,ENSG00000185436,IFNLR1
509,ENSG00000230023,RP11-10N16.2
510,ENSG00000232298,RP11-10N16.3
511,ENSG00000158055,GRHL3
512,ENSG00000001460,STPG1
513,ENSG00000001461,NIPAL3
514,ENSG00000117602,RCAN3
515,ENSG00000264443,RP4-594I10.3
516,ENSG00000184454,NCMAP
517,ENSG00000133226,SRRM1
518,ENSG00000169504,CLIC4
519,ENSG00000020633,RUNX3
520,ENSG00000229162,RP11-84D1.1
521,ENSG00000261025,RP11-84D1.2
522,ENSG00000233755,RP4-799D16.1
523,ENSG00000231953,RP4-706G24.1
524,ENSG00000117614,SYF2
525,ENSG00000117616,C1orf63
526,ENSG00000272432,RP3-465N24.6
527,ENSG00000187010,RHD
528,ENSG00000183726,TMEM50A
529,ENSG00000188672,RHCE
530,ENSG00000204178,TMEM57
531,ENSG00000157978,LDLRAP1
532,ENSG00000225643,RP11-70P17.1
533,ENSG00000117643,MAN1C1
534,ENSG00000233478,RP1-187B23.1
535,ENSG00000162430,SEPN1
536,ENSG00000255054,RP1-317E23.6
537,ENSG00000228172,RP1-317E23.3
538,ENSG00000117640,MTFR1L
539,ENSG00000223474,AL020996.1
540,ENSG00000272478,RP1-317E23.7
541,ENSG00000127423,AUNIP
542,ENSG00000236528,RP1-125I3.2
543,ENSG00000182749,PAQR7
544,ENSG00000117632,STMN1
545,ENSG00000158006,PAFAH2
546,ENSG00000158008,EXTL1
547,ENSG00000158014,SLC30A2
548,ENSG00000158022,TRIM63
549,ENSG00000175087,PDIK1L
550,ENSG00000197245,FAM110D
551,ENSG00000142684,ZNF593
552,ENSG00000236782,RP11-96L14.7
553,ENSG00000142675,CNKSR1
554,ENSG00000188782,CATSPER4
555,ENSG00000130695,CEP85
556,ENSG00000142669,SH3BGRL3
557,ENSG00000158062,UBXN11
558,ENSG00000169442,CD52
559,ENSG00000176092,AIM1L
560,ENSG00000176083,ZNF683
561,ENSG00000131914,LIN28A
562,ENSG00000117682,DHDDS
563,ENSG00000225891,RP3-476K8.3
564,ENSG00000198830,HMGN2
565,ENSG00000117676,RPS6KA1
566,ENSG00000260063,RP5-968P14.2
567,ENSG00000117713,ARID1A
568,ENSG00000060642,PIGV
569,ENSG00000204160,ZDHHC18
570,ENSG00000175793,SFN
571,ENSG00000226698,RP1-50O24.6
572,ENSG00000142751,GPN2
573,ENSG00000198746,GPATCH3
574,ENSG00000090273,NUDC
575,ENSG00000131910,NR0B2
576,ENSG00000175707,C1orf172
577,ENSG00000253368,TRNP1
578,ENSG00000158246,FAM46B
579,ENSG00000090020,SLC9A1
580,ENSG00000224311,RP11-40H20.4
581,ENSG00000142784,WDTC1
582,ENSG00000186501,TMEM222
583,ENSG00000142765,SYTL1
584,ENSG00000142733,MAP3K6
585,ENSG00000142748,FCN3
586,ENSG00000174950,CD164L2
587,ENSG00000181773,GPR3
588,ENSG00000158195,WASF2
589,ENSG00000241169,RP4-752I6.1
590,ENSG00000237429,RP1-159A19.4
591,ENSG00000126705,AHDC1
592,ENSG00000000938,FGR
593,ENSG00000233975,RP11-288L9.1
594,ENSG00000126709,IFI6
595,ENSG00000225886,RP11-288L9.4
596,ENSG00000009780,FAM76A
597,ENSG00000117758,STX12
598,ENSG00000117751,PPP1R8
599,ENSG00000268552,AL109927.1
600,ENSG00000130775,THEMIS2
601,ENSG00000117748,RPA2
602,ENSG00000130768,SMPDL3B
603,ENSG00000227050,RP11-460I13.2
604,ENSG00000158156,XKR8
605,ENSG00000158161,EYA3
606,ENSG00000169403,PTAFR
607,ENSG00000126698,DNAJC8
608,ENSG00000215902,AL353354.1
609,ENSG00000269804,AL353354.2
610,ENSG00000130770,ATPIF1
611,ENSG00000270605,RP5-1092A3.4
612,ENSG00000271398,RP5-1092A3.5
613,ENSG00000130766,SESN2
614,ENSG00000130772,MED18
615,ENSG00000204138,PHACTR4
616,ENSG00000180198,RCC1
617,ENSG00000180098,TRNAU1AP
618,ENSG00000197989,SNHG12
619,ENSG00000120656,TAF12
620,ENSG00000188060,RAB42
621,ENSG00000229388,RP11-442N24__B.1
622,ENSG00000270103,RNU11
623,ENSG00000162419,GMEB1
624,ENSG00000198492,YTHDF2
625,ENSG00000116329,OPRD1
626,ENSG00000226852,RP1-212P9.2
627,ENSG00000233427,RP1-212P9.3
628,ENSG00000159023,EPB41
629,ENSG00000253304,TMEM200B
630,ENSG00000225750,RP11-242O24.3
631,ENSG00000116350,SRSF4
632,ENSG00000227637,RP11-242O24.5
633,ENSG00000116353,MECR
634,ENSG00000237934,RP11-467D18.2
635,ENSG00000060656,PTPRU
636,ENSG00000230523,RP3-437I16.1
637,ENSG00000228176,RP4-656G21.1
638,ENSG00000233399,RP11-111I12.1
639,ENSG00000233372,RP5-893G23.1
640,ENSG00000236335,RP4-591L5.1
641,ENSG00000231949,RP4-591L5.2
642,ENSG00000162510,MATN1
643,ENSG00000186056,MATN1-AS1
644,ENSG00000162511,LAPTM5
645,ENSG00000229607,RP5-1125N11.1
646,ENSG00000223382,RP1-65J11.1
647,ENSG00000235143,RP1-65J11.5
648,ENSG00000162512,SDC3
649,ENSG00000134644,PUM1
650,ENSG00000084628,NKAIN1
651,ENSG00000060688,SNRNP40
652,ENSG00000121766,ZCCHC17
653,ENSG00000229044,RP11-266K22.2
654,ENSG00000121769,FABP3
655,ENSG00000168528,SERINC2
656,ENSG00000268950,AC114494.1
657,ENSG00000228682,RP11-439L8.3
658,ENSG00000223907,RP11-439L8.4
659,ENSG00000229167,RP11-73M7.1
660,ENSG00000142910,TINAGL1
661,ENSG00000121764,HCRTR1
662,ENSG00000162517,PEF1
663,ENSG00000235790,RP11-73M7.6
664,ENSG00000264078,RP11-73M7.9
665,ENSG00000084636,COL16A1
666,ENSG00000121753,BAI2
667,ENSG00000254545,RP11-84A19.3
668,ENSG00000134668,SPOCD1
669,ENSG00000203620,RP11-84A19.2
670,ENSG00000269967,RP11-84A19.4
671,ENSG00000184007,PTP4A2
672,ENSG00000212673,AL136115.1
673,ENSG00000228634,RP4-534N18.2
674,ENSG00000121774,KHDRBS1
675,ENSG00000203325,RP11-277A4.4
676,ENSG00000121775,TMEM39B
677,ENSG00000025800,KPNA6
678,ENSG00000084652,TXLNA
679,ENSG00000160050,CCDC28B
680,ENSG00000224066,RP4-622L5.7
681,ENSG00000160051,IQCC
682,ENSG00000222046,DCDC2B
683,ENSG00000160055,TMEM234
684,ENSG00000084623,EIF3I
685,ENSG00000183615,FAM167B
686,ENSG00000182866,LCK
687,ENSG00000116478,HDAC1
688,ENSG00000175130,MARCKSL1
689,ENSG00000233775,RP4-811H24.9
690,ENSG00000162526,TSSK3
691,ENSG00000225828,FAM229A
692,ENSG00000160058,BSDC1
693,ENSG00000254553,RP1-27O5.3
694,ENSG00000273274,ZBTB8B
695,ENSG00000160062,ZBTB8A
696,ENSG00000176261,ZBTB8OS
697,ENSG00000162521,RBBP4
698,ENSG00000162520,SYNC
699,ENSG00000224409,RP11-114B7.6
700,ENSG00000162522,KIAA1522
701,ENSG00000134684,YARS
702,ENSG00000116497,S100PBP
703,ENSG00000160097,FNDC5
704,ENSG00000121905,HPCA
705,ENSG00000121900,TMEM54
706,ENSG00000116514,RNF19B
707,ENSG00000267885,FKSG48
708,ENSG00000236065,RP1-117O3.2
709,ENSG00000004455,AK2
710,ENSG00000142920,ADC
711,ENSG00000116525,TRIM62
712,ENSG00000160094,ZNF362
713,ENSG00000270115,RP11-415J8.7
714,ENSG00000184389,A3GALT2
715,ENSG00000225313,RP11-415J8.3
716,ENSG00000134686,PHC2
717,ENSG00000233246,RP11-415J8.5
718,ENSG00000121903,ZSCAN20
719,ENSG00000121904,CSMD2
720,ENSG00000176256,HMGB4
721,ENSG00000231163,RP5-1007G16.1
722,ENSG00000142698,C1orf94
723,ENSG00000163866,SMIM12
724,ENSG00000189280,GJB5
725,ENSG00000189433,GJB4
726,ENSG00000255811,RP1-34M23.5
727,ENSG00000188910,GJB3
728,ENSG00000187513,GJA4
729,ENSG00000230163,RP5-997D16.2
730,ENSG00000116544,DLGAP3
731,ENSG00000271741,RP11-244H3.4
732,ENSG00000243749,ZMYM6NB
733,ENSG00000163867,ZMYM6
734,ENSG00000197056,ZMYM1
735,ENSG00000116560,SFPQ
736,ENSG00000146463,ZMYM4
737,ENSG00000227409,ZMYM4-AS1
738,ENSG00000142687,KIAA0319L
739,ENSG00000020129,NCDN
740,ENSG00000239636,RP4-728D4.2
741,ENSG00000116819,TFAP2E
742,ENSG00000126067,PSMB2
743,ENSG00000142686,C1orf216
744,ENSG00000092853,CLSPN
745,ENSG00000232335,RP11-435D7.3
746,ENSG00000134698,AGO4
747,ENSG00000092847,AGO1
748,ENSG00000271914,RP4-789D17.5
749,ENSG00000126070,AGO3
750,ENSG00000271554,RP4-665N4.8
751,ENSG00000092850,TEKT2
752,ENSG00000116863,ADPRHL2
753,ENSG00000171812,COL8A2
754,ENSG00000054116,TRAPPC3
755,ENSG00000116871,MAP7D1
756,ENSG00000054118,THRAP3
757,ENSG00000214193,SH3D21
758,ENSG00000142694,EVA1B
759,ENSG00000116883,RP11-268J15.5
